2L	8117	8192	1	1	1	343	0	50
2L	8117	8228	1	1	0	29	0	47
2L	11345	11409	2	2	1	1	0	31
2L	11519	11778	2	2	1	1	0	31
2L	17213	19879	2	2	1	1	0	46
2L	22942	22997	1	1	1	5	0	45
2L	26965	27052	2	2	1	5	0	29
2L	34289	34557	2	2	1	11	0	44
2L	70550	70606	1	1	1	2	0	21
2L	72978	74902	1	1	1	4	0	16
2L	75367	75426	1	1	0	1	0	29
2L	99724	99784	1	1	1	1	0	30
2L	100517	100571	1	1	1	1	0	4
2L	100704	100761	1	1	1	1	0	31
2L	101195	101248	1	1	1	1	0	15
2L	102907	103005	1	1	1	20	0	49
2L	103435	103515	1	1	1	1	0	44
2L	104948	105004	2	2	1	1	0	9
2L	105998	106096	1	1	0	3	0	16
2L	107839	108587	1	1	1	28	0	38
2L	108227	108587	1	1	1	53	0	49
2L	108347	108587	1	1	1	1	0	32
2L	108810	110405	1	1	1	1	0	27
2L	110878	111906	1	1	1	2	0	19
2L	111118	112689	1	1	1	5	0	32
2L	112020	112689	1	1	1	8	0	21
2L	113370	113433	1	1	1	33	0	44
2L	114882	114938	1	3	0	11	0	43
2L	114992	155566	1	1	1	11	0	13
2L	118305	118360	2	2	1	1	0	22
2L	122995	123080	2	2	1	2	0	22
2L	123073	123139	1	1	1	7	0	48
2L	123795	123855	2	2	1	4	0	31
2L	124921	125076	2	4	1	10	0	40
2L	125267	126109	2	2	1	26	0	35
2L	126228	128799	2	2	1	31	0	47
2L	132256	132475	1	1	1	38	0	46
2L	147711	147764	2	2	1	3	0	42
2L	155060	155127	2	2	1	11	0	25
2L	155179	155249	1	1	1	22	0	46
2L	155430	155493	1	1	0	3	0	13
2L	155430	155566	1	1	1	8	0	49
2L	155785	155857	1	1	1	185	0	48
2L	156349	156422	1	1	1	2	0	32
2L	158376	158435	2	2	1	5	0	13
2L	199576	199636	1	1	1	1	0	23
2L	199744	200119	1	1	1	1	0	44
2L	203892	203992	1	1	1	2	0	45
2L	207632	207710	1	1	1	2	0	34
2L	208609	208728	1	1	1	3	0	42
