Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
FBgn0031208	-	2L	+	7529	9484	0.179787	0.171182	0.394298
FBgn0002121	-	2L	-	9839	21376	26.942322	29.362421	67.633194
FBgn0031209	-	2L	-	21823	25155	0.000000	0.000000	0.000000
FBgn0263584	-	2L	+	21952	24237	0.232735	0.221595	0.510421
FBgn0051973	-	2L	-	25402	65404	0.338708	0.504750	1.162637
FBgn0267987	-	2L	+	54817	55767	0.161935	0.154184	0.355146
FBgn0266879	-	2L	+	66318	66524	0.000000	0.000000	0.000000
FBgn0067779	-	2L	+	66482	71390	18.180151	19.276619	44.401630
FBgn0266322	-	2L	-	71039	73836	0.478960	0.456035	1.050427
FBgn0031213	-	2L	+	71757	76211	9.450295	21.177809	48.780819
FBgn0002931	-	2L	-	82421	87387	0.000000	0.000000	0.000000
FBgn0031216	-	2L	+	94739	102086	13.227610	12.594478	29.010031
FBgn0031217	-	2L	+	102380	104142	36.889076	35.318321	81.351967
FBgn0026787	-	2L	-	103962	106732	10.533746	10.029553	23.102003
FBgn0005278	-	2L	+	106903	114432	88.528885	151.127945	348.107025
FBgn0031228	-	2L	+	114726	156030	19.669121	31.695606	73.007431
FBgn0031219	-	2L	-	115365	116488	0.000000	0.000000	0.000000
FBgn0031220	-	2L	-	116970	121754	0.160985	0.161540	0.372091
FBgn0288229	-	2L	-	122624	130791	19.868845	20.793764	47.896206
FBgn0266304	-	2L	+	122837	124031	0.101581	0.096719	0.222782
FBgn0001142	-	2L	+	132077	134472	77.204918	82.326302	189.629822
FBgn0265074	-	2L	+	135402	136128	0.000000	0.000000	0.000000
FBgn0265075	-	2L	+	136144	136701	0.000000	0.000000	0.000000
FBgn0051976	-	2L	-	138384	140992	0.000000	0.000000	0.000000
FBgn0051975	-	2L	-	138384	140992	0.000000	0.000000	0.000000
FBgn0051974	-	2L	-	141077	143091	1.013103	0.964611	2.221879
FBgn0031224	-	2L	+	143323	144227	11.891714	11.322523	26.080221
FBgn0259818	-	2L	-	144231	153300	0.198492	0.188991	0.435321
FBgn0031227	-	2L	-	153539	155305	3.469661	3.303587	7.609460
FBgn0031229	-	2L	+	156029	157666	27.867193	28.621500	65.926559
FBgn0053635	-	2L	-	157836	158664	3.128739	2.978984	6.861770
FBgn0016977	-	2L	+	159032	203397	22.190752	27.602468	63.579330
FBgn0031231	-	2L	+	203779	204782	30.617941	29.152430	67.149498
FBgn0031232	-	2L	-	204743	207297	0.000000	0.000000	0.000000
FBgn0031233	-	2L	+	207179	210725	20.968939	21.417610	49.333176
FBgn0266557	-	2L	-	210735	250823	37.226585	37.090939	85.435005
FBgn0265151	-	2L	+	219651	220050	0.000000	0.000000	0.000000
FBgn0265153	-	2L	+	223519	224708	0.310924	0.296042	0.681901
FBgn0265152	-	2L	+	228037	228588	0.000000	0.000000	0.000000
FBgn0263465	-	2L	-	232166	232253	0.000000	0.000000	0.000000
FBgn0031235	-	2L	+	232487	234208	0.000000	0.000000	0.000000
FBgn0262252	-	2L	-	243035	243141	0.000000	0.000000	0.000000
FBgn0265149	-	2L	+	248909	249812	0.000000	0.000000	0.000000
FBgn0283652	-	2L	-	251039	252373	8.974662	9.235312	21.272552
FBgn0031238	-	2L	-	252589	271744	17.489702	18.646215	42.949558
FBgn0031239	-	2L	-	259949	267505	0.032553	0.036016	0.082960
FBgn0265150	-	2L	+	262203	263003	0.000000	0.000000	0.000000
FBgn0031240	-	2L	+	269088	271626	0.000000	0.000000	0.000000
FBgn0086912	-	2L	-	271912	273715	113.705582	108.263123	249.372528
FBgn0086856	-	2L	+	273836	274766	83.492783	88.684006	204.274109
FBgn0086855	-	2L	-	274740	278234	31.420902	39.945488	92.010162
FBgn0003444	-	2L	+	277582	282167	31.756775	30.236755	69.647125
FBgn0031244	-	2L	-	281670	283269	6.100076	6.806810	15.678759
FBgn0031245	-	2L	-	283385	291795	0.200799	0.852085	1.962687
FBgn0267995	-	2L	+	283807	284255	0.000000	0.000000	0.000000
FBgn0267996	-	2L	+	286383	288292	0.000000	0.000000	0.000000
FBgn0025686	-	2L	-	287252	289144	0.086107	0.085432	0.196784
FBgn0031247	-	2L	+	292419	293222	30.770828	29.297998	67.484802
FBgn0017457	-	2L	-	292959	294681	35.210526	39.770069	91.606094
FBgn0024352	-	2L	+	295122	297449	236.005936	224.709641	517.594604
FBgn0020622	-	2L	+	297880	305233	39.201904	48.922112	112.686852
FBgn0004611	-	2L	+	305935	355566	8.806988	21.312677	49.091469
FBgn0263872	-	2L	-	308537	309348	0.018473	0.017589	0.040514
FBgn0031248	-	2L	-	318362	319259	0.000000	0.000000	0.000000
FBgn0031249	-	2L	-	320279	321248	0.010309	0.009816	0.022609
FBgn0053127	-	2L	+	322101	323091	0.000000	0.000000	0.000000
FBgn0264086	-	2L	-	325522	329761	0.000000	0.000000	0.000000
FBgn0051921	-	2L	-	329910	332335	0.000000	0.000000	0.000000
FBgn0031250	-	2L	-	355565	357874	9.978702	9.611931	22.140055
FBgn0266907	-	2L	+	355663	356891	0.000000	0.000000	0.000000
FBgn0266906	-	2L	+	357329	358174	0.000000	0.000000	0.000000
FBgn0000061	-	2L	+	378112	387439	0.000000	0.000000	0.000000
FBgn0263871	-	2L	+	396120	396571	0.000000	0.000000	0.000000
FBgn0031251	-	2L	-	396595	402198	0.000000	0.000000	0.000000
FBgn0003278	-	2L	+	404285	407969	12.721942	12.113012	27.901030
FBgn0264855	-	2L	-	408030	414777	38.249386	37.663212	86.753181
FBgn0263933	-	2L	+	415067	418536	87.258888	83.082291	191.371155
FBgn0031252	-	2L	-	418434	419652	25.735603	24.503784	56.441841
FBgn0002593	-	2L	+	419952	420864	957.255188	984.900757	2268.613525
FBgn0031253	-	2L	-	420895	421450	21.935253	20.885334	48.107132
FBgn0031254	-	2L	+	421771	422489	0.000000	0.000000	0.000000
FBgn0031255	-	2L	+	422873	425321	0.000000	0.000000	0.000000
FBgn0004583	-	2L	+	431227	448701	2.007441	1.911356	4.402604
FBgn0263870	-	2L	+	439539	440104	0.000000	0.000000	0.000000
FBgn0015924	-	2L	-	448254	453024	51.306652	57.523277	132.498703
FBgn0031256	-	2L	+	453108	454654	54.870628	52.244278	120.339096
FBgn0262510	-	2L	+	454754	455313	26.372551	25.110243	57.838753
FBgn0031257	-	2L	+	455531	458745	0.167297	0.159289	0.366906
FBgn0031258	-	2L	-	458876	472200	0.501800	0.502218	1.156806
FBgn0027592	-	2L	+	473013	476170	19.248123	18.326822	42.213875
FBgn0003963	-	2L	+	476220	540560	3.922802	6.445308	14.846075
FBgn0043364	-	2L	-	476446	479688	20.522974	30.660654	70.623535
FBgn0267991	-	2L	+	490835	492649	3.417104	6.108578	14.070456
FBgn0267992	-	2L	-	500873	502236	0.000000	0.000000	0.000000
FBgn0010602	-	2L	-	540599	542580	151.414719	204.947006	472.073517
FBgn0031260	-	2L	-	542786	544653	43.079494	41.017517	94.479462
FBgn0005660	-	2L	-	544925	552923	0.211024	0.243531	0.560949
FBgn0031261	-	2L	+	545129	547096	0.000000	0.000000	0.000000
FBgn0260933	-	2L	-	553742	560310	2.003384	2.097437	4.831221
FBgn0031263	-	2L	+	559612	560523	39.122791	37.250202	85.801849
FBgn0031264	-	2L	-	560568	563819	0.000000	0.000000	0.000000
FBgn0031265	-	2L	+	564163	566472	4.245908	4.042680	9.311880
FBgn0021874	-	2L	-	566366	568121	8.753463	8.334483	19.197590
FBgn0031266	-	2L	+	568340	572907	21.948719	21.387424	49.263649
FBgn0031267	-	2L	-	573033	574264	54.367714	51.765434	119.236130
FBgn0031268	-	2L	+	574291	575734	26.604490	26.837503	61.817318
FBgn0013323	-	2L	-	575711	576896	0.000000	0.000000	0.000000
FBgn0023489	-	2L	+	577486	579549	0.000000	0.000000	0.000000
FBgn0031270	-	2L	+	602813	604430	4.050935	7.882054	18.155468
FBgn0284247	-	2L	-	640013	714983	0.038062	0.036240	0.083475
FBgn0266323	-	2L	+	710568	715307	0.000000	0.000000	0.000000
FBgn0026438	-	2L	-	737212	744395	0.142142	0.159156	0.366599
FBgn0031275	-	2L	+	749945	762399	0.068065	0.096945	0.223304
FBgn0265825	-	2L	+	772514	773093	0.000000	0.000000	0.000000
FBgn0031276	-	2L	+	773547	774017	0.000000	0.000000	0.000000
FBgn0040725	-	2L	+	776536	776941	0.000000	0.000000	0.000000
FBgn0031277	-	2L	+	779173	779655	0.202899	0.193187	0.444986
FBgn0041250	-	2L	+	780482	782885	0.000000	0.000000	0.000000
FBgn0031279	-	2L	+	784336	788776	0.000000	0.000000	0.000000
FBgn0000442	-	2L	-	786153	790798	0.000000	0.000000	0.000000
FBgn0266797	-	2L	+	799856	800323	0.000000	0.000000	0.000000
FBgn0051658	-	2L	+	810577	811531	33.851852	32.231552	74.241928
FBgn0086130	-	2L	+	811584	813380	12.762943	12.152052	27.990950
FBgn0031281	-	2L	-	813314	815950	7.295772	6.946564	16.000666
FBgn0031282	-	2L	+	815993	818096	4.256545	6.636197	15.285769
FBgn0031283	-	2L	-	816994	817950	0.000000	0.000000	0.000000
FBgn0031284	-	2L	-	818079	819508	10.781920	10.265849	23.646284
FBgn0015621	-	2L	+	819964	821209	25.361156	24.147259	55.620625
FBgn0031285	-	2L	+	821289	824337	48.978054	80.432709	185.268127
FBgn0031286	-	2L	-	824329	825861	8.407990	8.005547	18.439919
FBgn0010583	-	2L	+	825969	833241	25.974829	26.408670	60.829544
FBgn0020304	-	2L	-	833584	851071	37.598690	45.291306	104.323685
FBgn0264869	-	2L	+	850702	851163	0.000000	0.000000	0.000000
FBgn0031287	-	2L	-	851251	852730	11.149618	11.170194	25.729347
FBgn0020545	-	2L	+	852768	854539	24.478788	24.304518	55.982857
FBgn0031288	-	2L	+	855337	856639	6.857143	7.362939	16.959742
FBgn0266884	-	2L	+	857403	860079	0.000000	0.000000	0.000000
FBgn0262177	-	2L	+	857542	857632	0.000000	0.000000	0.000000
FBgn0031289	-	2L	+	860197	861806	0.000000	0.000000	0.000000
FBgn0029095	-	2L	-	861849	868354	5.937300	6.440162	14.834224
FBgn0086031	-	2L	-	865366	865493	0.000000	0.000000	0.000000
FBgn0020305	-	2L	-	868673	869857	48.418564	46.101032	106.188797
FBgn0053526	-	2L	+	870465	877038	37.841198	48.676247	112.120522
FBgn0031292	-	2L	-	877172	885141	0.000000	0.000000	0.000000
FBgn0002936	-	2L	+	877302	878270	0.000000	0.000000	0.000000
FBgn0003916	-	2L	-	901491	901654	0.609756	0.580570	1.337282
FBgn0046113	-	2L	+	914086	917805	0.114181	0.108716	0.250415
FBgn0031294	-	2L	-	1008378	1048053	0.864674	1.160866	2.673932
FBgn0287617	-	2L	+	1019659	1028737	0.000000	0.000000	0.000000
FBgn0031295	-	2L	-	1026105	1026897	0.000000	0.000000	0.000000
FBgn0031296	-	2L	+	1037246	1038685	68.811470	69.201637	159.398560
FBgn0003310	-	2L	-	1049674	1077815	38.861507	37.001423	85.228813
FBgn0015905	-	2L	+	1077948	1080803	21.310747	20.290720	46.737503
FBgn0031298	-	2L	+	1080911	1085380	9.452297	16.641550	38.332031
FBgn0031299	-	2L	-	1083091	1102504	0.012047	0.011470	0.026421
FBgn0261938	-	2L	-	1103254	1108373	13.523950	13.434455	30.944830
FBgn0031301	-	2L	+	1108540	1112694	0.000000	0.000000	0.000000
FBgn0031302	-	2L	+	1112941	1114138	0.000000	0.000000	0.000000
FBgn0016926	-	2L	-	1114654	1128953	44.911495	53.051445	122.198326
FBgn0031304	-	2L	+	1129316	1132411	26.775023	25.493450	58.721432
FBgn0031305	-	2L	-	1132332	1134098	3.201282	3.048054	7.020867
FBgn0031306	-	2L	+	1134693	1141156	0.000000	0.000000	0.000000
FBgn0267281	-	2L	+	1142869	1143216	0.000000	0.000000	0.000000
FBgn0031307	-	2L	+	1143201	1147395	0.000000	0.000000	0.000000
FBgn0283525	-	2L	+	1147822	1149449	9.222727	8.781286	20.226753
FBgn0031309	-	2L	-	1149445	1150677	32.279678	30.734629	70.793930
FBgn0031310	-	2L	+	1150766	1151764	26.410767	25.146629	57.922569
FBgn0261458	-	2L	-	1151678	1158262	63.557266	95.904625	220.906021
FBgn0264267	-	2L	-	1158576	1159355	0.000000	0.000000	0.000000
FBgn0031312	-	2L	+	1158661	1160220	55.564857	52.905277	121.861633
FBgn0031313	-	2L	-	1160290	1163886	0.684371	0.698937	1.609927
FBgn0031314	-	2L	+	1164443	1166425	6.244156	5.945283	13.694323
FBgn0031315	-	2L	+	1166506	1167211	23.234283	22.122187	50.956089
FBgn0024314	-	2L	-	1167172	1170365	23.836992	24.490629	56.411541
FBgn0051922	-	2L	+	1170181	1170789	2.539561	2.418006	5.569619
FBgn0031317	-	2L	-	1170753	1172805	42.010464	39.999657	92.134926
FBgn0031318	-	2L	+	1173009	1177589	26.923040	25.947350	59.766945
FBgn0031319	-	2L	+	1177690	1182454	13.209403	15.425210	35.530319
FBgn0031320	-	2L	-	1182297	1184020	25.398684	24.182989	55.702927
FBgn0031321	-	2L	+	1184065	1185698	11.413155	10.866870	25.030672
FBgn0031322	-	2L	+	1185757	1196807	0.344593	1.221228	2.812968
FBgn0031323	-	2L	-	1198465	1199266	0.000000	0.000000	0.000000
FBgn0263080	-	2L	+	1199412	1199924	0.000000	0.000000	0.000000
FBgn0263081	-	2L	+	1200205	1200663	0.629630	0.599493	1.380868
FBgn0040723	-	2L	+	1200671	1201220	0.000000	0.000000	0.000000
FBgn0031324	-	2L	+	1204215	1205250	0.000000	0.000000	0.000000
FBgn0031327	-	2L	+	1240036	1243018	0.199449	0.224234	0.516498
FBgn0053126	-	2L	-	1359837	1361821	1.574413	1.499055	3.452912
FBgn0031337	-	2L	+	1367996	1369050	3.860441	4.073147	9.382059
FBgn0266203	-	2L	-	1380083	1381326	0.029621	0.028203	0.064963
FBgn0002543	-	2L	-	1380086	1420453	0.116686	0.111101	0.255909
FBgn0266202	-	2L	+	1381211	1382796	0.000000	0.000000	0.000000
FBgn0263321	-	2L	+	1442627	1443832	0.158375	0.307712	0.708782
FBgn0051928	-	2L	+	1492295	1493859	0.483706	0.460554	1.060836
FBgn0051926	-	2L	+	1495460	1497071	2.076303	2.372895	5.465710
FBgn0051661	-	2L	+	1497243	1498583	2.740492	2.609320	6.010289
FBgn0031343	-	2L	-	1498455	1500608	0.000000	0.000000	0.000000
FBgn0031344	-	2L	-	1500784	1502904	6.630476	6.523467	15.026106
FBgn0264873	-	2L	+	1500830	1504204	0.000000	0.000000	0.000000
