2L	7490	7573	1	1	0	1	0	25
2L	8117	8192	1	1	1	467	0	49
2L	8117	8228	1	1	0	9	0	50
2L	11345	11409	2	2	1	7	0	41
2L	13626	13682	2	2	1	1	0	17
2L	14875	14932	2	2	1	3	0	42
2L	17213	17335	2	2	0	3	0	24
2L	22942	22997	1	1	1	2	0	25
2L	26965	27052	2	2	1	2	0	8
2L	27491	28014	2	2	1	2	0	44
2L	28927	28981	2	2	1	3	0	34
2L	29069	34557	2	2	1	4	0	41
2L	29069	35745	2	2	1	2	0	32
2L	34289	34557	2	2	1	2	0	25
2L	34605	34719	2	2	1	9	0	47
2L	39858	54016	2	2	0	2	0	25
2L	39858	58080	2	2	1	1	0	44
2L	67508	67568	1	1	1	1	0	40
2L	67763	67891	1	1	1	2	0	11
2L	68024	68084	1	1	1	2	0	29
2L	70550	70606	1	1	1	3	0	17
2L	84278	87019	2	2	1	1	0	14
2L	94762	104391	2	2	0	1	0	36
2L	98471	98526	1	1	1	1	0	38
2L	99724	99784	1	1	1	3	0	16
2L	102907	103005	1	1	1	11	0	49
2L	103435	103515	1	1	1	7	0	46
2L	105337	105390	2	2	1	1	0	8
2L	105456	105511	2	2	1	2	0	47
2L	105916	105968	2	4	1	3	0	46
2L	107839	108587	1	1	1	1	0	47
2L	108102	108587	1	1	1	3	0	9
2L	108227	108587	1	1	1	22	0	42
2L	108810	110405	1	1	1	33	0	42
2L	110484	110754	1	1	1	8	0	41
2L	110878	111906	1	1	1	1	0	20
2L	112020	112689	1	1	1	3	0	48
2L	113370	113433	1	1	1	53	0	48
2L	119077	119133	2	2	1	1	0	49
2L	123073	123139	1	1	1	7	0	47
2L	123073	123146	1	1	0	1	0	40
2L	123630	123693	2	2	1	2	0	37
2L	123795	123855	2	2	1	1	0	13
2L	124025	124086	2	2	1	3	0	32
2L	124921	125076	2	4	1	9	0	50
2L	125267	126109	2	2	1	12	0	49
2L	126228	128799	2	2	1	30	0	48
2L	132256	132475	1	1	1	25	0	50
2L	141341	141395	2	2	1	1	0	29
2L	147455	147510	2	2	1	9	0	35
2L	147711	147764	2	2	1	5	0	50
2L	155060	155127	2	2	1	8	0	40
2L	155179	155249	1	1	1	14	0	47
2L	155430	155545	1	1	1	1	0	6
2L	155430	155566	1	1	1	6	0	45
2L	155430	155637	1	1	1	3	0	44
2L	155785	155857	1	1	1	54	0	48
2L	156349	156422	1	1	1	5	0	49
2L	156553	156735	1	1	1	1	0	34
2L	158376	158435	2	2	1	1	0	10
2L	185083	185151	1	1	1	2	0	49
2L	186856	186909	1	1	1	1	0	21
2L	187017	187481	1	1	1	1	0	21
2L	199576	199636	1	1	1	3	0	40
2L	201062	201126	1	1	1	1	0	19
2L	205213	205271	2	2	1	1	0	25
